,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
341,27135,2.9192529,2.48337,43.376717,36.9,0.2009989,6.476715
342,27139,4.020632,3.35827,59.74193,49.899998,0.14903057,9.84193
343,27141,3.2355654,3.00831,48.07675,44.7,0.2573789,3.376751
344,27143,3.8553915,3.12272,57.28665,46.4,0.1256548,10.88665
345,27145,4.0101547,3.23713,59.58625,48.1,0.16668883,11.486252
346,27147,4.0581856,3.29097,60.299934,48.9,0.14006552,11.399933
347,27149,3.8856423,2.86698,57.73614,42.600002,0.15533891,15.136139
348,27151,3.9613352,2.92755,58.86085,43.5,0.1608189,15.360851
349,27153,3.5090642,2.40934,52.14063,35.8,0.18609576,16.34063
350,27161,4.000762,3.35154,59.446686,49.800003,0.13355549,9.646683
351,27163,3.8038206,3.45922,56.520367,51.399998,0.20721689,5.120369
352,27165,4.2026467,3.4996,62.44646,52.0,0.15923175,10.446461
353,27167,3.377005,2.57759,50.178383,38.3,0.20173882,11.878384
354,27169,4.1507883,3.73515,61.675903,55.500004,0.1644086,6.1758995
355,29005,4.70447,4.1726,69.90298,61.999996,0.37607193,7.902981
356,29007,3.7010589,3.47941,54.993446,51.7,0.25121778,3.2934456
357,29011,2.7823286,2.14687,41.34218,31.9,0.29368433,9.442179
358,29019,3.5590672,3.22367,52.883614,47.9,0.2606366,4.983612
359,29021,4.34375,3.95724,64.54309,58.800003,0.354839,5.743088
360,29025,3.7573726,3.43903,55.830204,51.1,0.26908684,4.7302055
361,29027,3.6441264,3.25732,54.147495,48.399998,0.25440928,5.7474976
362,29031,2.9512691,2.59105,43.85244,38.5,0.32248372,5.35244
363,29033,4.04228,3.82937,60.0636,56.9,0.31677547,3.163597
364,29037,3.1572237,2.2882,46.912685,34.0,0.3254747,12.912685
